"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2019","12","2","Tiny Little Fly / words by Michael Rosen ; pictures by Kevin Waldron.","Rosen, Michael, 1946-","Flies Juvenile fiction, Jungle animals Juvenile fiction","Candlewick Press,","2010."
"Physical","Horizon","VIDEODISC","2019","12","3","This Christmas / Screen Gems ; a Rainforest Films production in association with Facilitator Films ; produced by Will Packer, Preston A. Whitmore II ; written and directed by Preston A. Whitmore II.",,"Family reunions Drama, African American families Drama, Comedy films, Christmas films, Feature films, Fiction films","[Publisher not identified],","[2015]"
"Physical","Horizon","BOOK","2019","12","1","How to win at feminism : the definitive guide to having it all--and then some! / presented by Reductress ; [by Elizabeth Newell, Sarah Pappalardo, and Anna Drezen].","Newell, Elizabeth","Feminist theory, Feminism Humor, Sex role Humor, Womens rights","HarperOne,","2016."
"Physical","Horizon","BOOK","2019","12","1","Sunning sea lions : discovering even numbers / by Amanda Doering Tourville ; illustrated by Sharon Holm ; content consultant, Paula J. Maida and Terry Sinko.","Doering, Amanda F., 1980-","Counting Juvenile literature, Numbers Natural Juvenile literature, Sea lions Juvenile literature","Magic Wagon,","[2009]"
"Physical","Horizon","BOOK","2019","12","1","The abominable man / Maj Sjöwall and Per Wahlöö ; translated from the Swedish by Thomas Teal ; [with an introduction by Jens Lapidus].","Sjöwall, Maj, 1935-","Beck Martin Fictitious character Fiction, Police Fiction, Murder Investigation Fiction, Police corruption Fiction, Stockholm Sweden Fiction, Mystery fiction","Vintage Crime / Black Lizard,","2009."
"Digital","OverDrive","AUDIOBOOK","2019","12","9","The Way of Shadows: Night Angel Series, Book 1 (unabridged) (Unabridged)","Brent Weeks","Fantasy, Fiction, Literature","Tantor Media, Inc","2012"
"Digital","OverDrive","AUDIOBOOK","2019","12","1","Debt Free For Life: The Finish Rich Plan for Financial Freedom (unabridged) (Unabridged)","David Bach","Business, Finance, Nonfiction","Books on Tape","2011"
"Physical","Horizon","BOOK","2019","12","1","Waisted : a novel / Randy Susan Meyers.","Meyers, Randy Susan","Overweight women Fiction, Female friendship Fiction","Atria Books,","2019."
"Physical","Horizon","VIDEODISC","2019","12","2","In my father's house / Break Thru Films Inc. ; directed by Ricki Stern & Annie Sundberg ; produced by Ricki Stern, Annie Sundberg, Charles Miller, Daniel Kellison.",,"Rhymefest 1977 Family, Rhymefest 1977 Homes and haunts, African Americans Race identity, Absentee fathers, Documentary films, Video recordings for the hearing impaired","Distributed by ARC Entertainment, LLC,","c2016."
"Physical","Horizon","VIDEODISC","2019","12","1","An easy guide to tuning your guitar : secrets to playing and staying perfectly in tune / taught by Happy Traum ; with John Sebastian.","Traum, Happy","Guitar Tuning, Guitar Methods Self instruction, Guitar Instruction and study","Homespun Tapes,","[2006]"
"Digital","OverDrive","AUDIOBOOK","2019","12","2","Midnight Rising: Midnight Breed Series, Book 4 (unabridged) (Unabridged)","Lara Adrian","Fantasy, Fiction, Literature","Tantor Media, Inc","2014"
"Physical","Horizon","BOOK","2019","12","6","Glass slipper, gold sandal : a worldwide Cinderella / Paul Fleischman ; illustrated by Julie Paschkis.","Fleischman, Paul","Folklore Juvenile literature, Folklore","H. Holt,","2007."
"Digital","OverDrive","EBOOK","2019","12","5","Hold On to Your Kids: Why Parents Need to Matter More Than Peers","Gordon Neufeld","Family & Relationships, Nonfiction, Psychology","Random House, Inc.","2014"
"Digital","OverDrive","EBOOK","2019","12","1","The Road to Wings","Julie Tizard","Fiction, Literature","Bold Strokes Books, Inc.","2017"
"Physical","Horizon","SOUNDDISC","2019","12","2","Record of a spaceborn few / Becky Chambers.","Chambers, Becky","Interplanetary voyages Fiction, Extraterrestrial beings Fiction, Science fiction, Audiobooks","Harper Audio,","[2018]"
"Physical","Horizon","BOOK","2019","12","1","The stranger you know / Andrea Kane.","Kane, Andrea","Serial murderers Fiction, Murder Investigation Fiction, Stalkers Fiction, Crime scenes Fiction, Large type books, Suspense fiction, Mystery fiction","Wheeler Publishing, A part of Gale, Cengage Learning,","2013."
